file,status,rows,schema_ok,missing_columns,extra_columns,null_symbol,null_element,null_value,period_consistent,unique_periods,output_file,error
360ONE_2024_2025.csv,WARNING,2065,True,,,0,0,41,False,2022-04-01 to 2023-03-31 | 2023-04-01 to 2024-03-31 | 2024-03-31 | 2024-04-01 to 2025-03-31 | 2025-03-31,360ONE_2024_2025_clean.csv,
3IINFOLTD_2024_2025.csv,WARNING,1571,True,,,0,0,23,False,2022-04-01 to 2023-03-31 | 2023-04-01 to 2024-03-31 | 2024-03-31 | 2024-04-01 to 2025-03-31 | 2025-03-31,3IINFOLTD_2024_2025_clean.csv,
3MINDIA_2024_2025.csv,WARNING,1881,True,,,0,0,11,False,2022-04-01 to 2023-03-31 | 2023-04-01 to 2024-03-31 | 2024-03-31 | 2024-04-01 to 2025-03-31 | 2025-03-31,3MINDIA_2024_2025_clean.csv,
5PAISA_2024_2025.csv,WARNING,1788,True,,,0,0,90,False,2022-04-01 to 2023-03-31 | 2023-04-01 to 2024-03-31 | 2024-03-31 | 2024-04-01 to 2025-03-31 | 2025-03-31,5PAISA_2024_2025_clean.csv,
63MOONS_2024_2025.csv,WARNING,1383,True,,,0,0,5,False,2022-04-01 to 2023-03-31 | 2023-04-01 to 2024-03-31 | 2024-03-31 | 2024-04-01 to 2025-03-31 | 2025-03-31,63MOONS_2024_2025_clean.csv,
AARTIDRUGS_2024_2025.csv,WARNING,1711,True,,,0,0,36,False,2022-04-01 to 2023-03-31 | 2023-04-01 to 2024-03-31 | 2024-03-31 | 2024-04-01 to 2025-03-31 | 2025-03-31,AARTIDRUGS_2024_2025_clean.csv,
AARTIIND_2024_2025.csv,WARNING,2031,True,,,0,0,62,False,2022-04-01 to 2023-03-31 | 2023-04-01 to 2024-03-31 | 2024-03-31 | 2024-04-01 to 2025-03-31 | 2025-03-31,AARTIIND_2024_2025_clean.csv,
AARTIPHARM_2024_2025.csv,WARNING,1822,True,,,0,0,37,False,2022-04-01 to 2023-03-31 | 2023-04-01 to 2024-03-31 | 2024-03-31 | 2024-04-01 to 2025-03-31 | 2025-03-31,AARTIPHARM_2024_2025_clean.csv,
AAVAS_2024_2025.csv,WARNING,1993,True,,,0,0,66,False,2022-04-01 to 2023-03-31 | 2023-04-01 to 2024-03-31 | 2024-03-31 | 2024-04-01 to 2025-03-31 | 2025-03-31,AAVAS_2024_2025_clean.csv,
ABB_2024_2024.csv,WARNING,2136,True,,,0,0,38,False,2022-01-01 to 2022-12-31 | 2023-01-01 to 2023-12-31 | 2023-12-31 | 2024-01-01 to 2024-12-31 | 2024-12-31,ABB_2024_2024_clean.csv,
ABCAPITAL_2024_2025.csv,WARNING,2103,True,,,0,0,23,False,2022-04-01 to 2023-03-31 | 2023-04-01 to 2024-03-31 | 2024-03-31 | 2024-04-01 to 2025-03-31 | 2025-03-31,ABCAPITAL_2024_2025_clean.csv,
